('Train Points', (7585, 4096, 6))
('Train Labels', (7585, 4096))
('Validation Points', (1486, 4096, 6))
('Validation Labels', (1486, 4096))
WARNING:tensorflow:From /home/jd/Desktop/multiview_segmentation/offline_architecture.py:127: calling reduce_max (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING:tensorflow:From /home/jd/Desktop/multiview_segmentation/offline_architecture.py:136: calling reduce_sum (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
Epoch: 0 Loss: 2.006 (cls 0.307)
Epoch: 1 Loss: 1.223 (cls 0.585)
Epoch: 2 Loss: 0.965 (cls 0.685)
Epoch: 3 Loss: 0.873 (cls 0.715)
Epoch: 4 Loss: 0.834 (cls 0.728)
Epoch: 5 Loss: 0.792 (cls 0.742)
Epoch: 6 Loss: 0.767 (cls 0.749)
Epoch: 7 Loss: 0.734 (cls 0.761)
Epoch: 8 Loss: 0.717 (cls 0.766)
Epoch: 9 Loss: 0.691 (cls 0.774)
Validation: 9 Loss: 0.943 (cls 0.696)
Epoch: 10 Loss: 0.663 (cls 0.782)
Epoch: 11 Loss: 0.646 (cls 0.787)
Epoch: 12 Loss: 0.621 (cls 0.795)
Epoch: 13 Loss: 0.603 (cls 0.800)
Epoch: 14 Loss: 0.610 (cls 0.800)
Epoch: 15 Loss: 0.587 (cls 0.806)
Epoch: 16 Loss: 0.567 (cls 0.813)
Epoch: 17 Loss: 0.554 (cls 0.818)
Epoch: 18 Loss: 0.547 (cls 0.819)
Epoch: 19 Loss: 0.530 (cls 0.825)
Validation: 19 Loss: 0.847 (cls 0.744)
Epoch: 20 Loss: 0.520 (cls 0.828)
Epoch: 21 Loss: 0.512 (cls 0.830)
Epoch: 22 Loss: 0.513 (cls 0.830)
Epoch: 23 Loss: 0.516 (cls 0.829)
Epoch: 24 Loss: 0.492 (cls 0.836)
Epoch: 25 Loss: 0.481 (cls 0.841)
Epoch: 26 Loss: 0.469 (cls 0.844)
Epoch: 27 Loss: 0.459 (cls 0.844)
Epoch: 28 Loss: 0.447 (cls 0.849)
Epoch: 29 Loss: 0.449 (cls 0.849)
Validation: 29 Loss: 0.882 (cls 0.762)
Epoch: 30 Loss: 0.434 (cls 0.853)
Epoch: 31 Loss: 0.431 (cls 0.853)
Epoch: 32 Loss: 0.423 (cls 0.857)
Epoch: 33 Loss: 0.418 (cls 0.859)
Epoch: 34 Loss: 0.415 (cls 0.859)
Epoch: 35 Loss: 0.416 (cls 0.859)
Epoch: 36 Loss: 0.400 (cls 0.864)
Epoch: 37 Loss: 0.397 (cls 0.864)
Epoch: 38 Loss: 0.398 (cls 0.865)
Epoch: 39 Loss: 0.383 (cls 0.868)
Validation: 39 Loss: 0.755 (cls 0.776)
Epoch: 40 Loss: 0.378 (cls 0.870)
Epoch: 41 Loss: 0.377 (cls 0.872)
Epoch: 42 Loss: 0.372 (cls 0.873)
Epoch: 43 Loss: 0.358 (cls 0.876)
Epoch: 44 Loss: 0.355 (cls 0.877)
Epoch: 45 Loss: 0.361 (cls 0.876)
Epoch: 46 Loss: 0.351 (cls 0.879)
Epoch: 47 Loss: 0.351 (cls 0.878)
Epoch: 48 Loss: 0.352 (cls 0.879)
Epoch: 49 Loss: 0.342 (cls 0.882)
Validation: 49 Loss: 0.831 (cls 0.771)

real	74m38.629s
user	76m43.716s
sys	0m31.623s

